STATE,MAILCODE,CLUSTER,AGEFLAG,HOMEOWNR,GENDER,DATASRCE,VETERANS,RFA_2R,RFA_2A,GEOCODE2,DOMAIN_A,DOMAIN_B
WA,A,24,E,H,M,3,N,L,F,C,C,1
TX,A,24,E,H,M,3,Y,L,G,A,C,1
CA,A,10,U,H,F,3,N,L,G,A,U,4
CA,A,30,E,H,M,3,N,L,F,A,C,3
other,A,11,E,H,M,2,Y,L,F,B,S,1
CA,A,2,E,H,M,2,N,L,F,A,U,1
CA,A,46,E,H,F,2,N,L,F,A,R,2
FL,A,23,E,H,M,3,N,L,E,A,C,1
IN,A,24,U,U,M,0,N,L,F,C,C,1
NC,A,32,E,U,M,3,N,L,F,B,C,3
NC,A,51,U,U,F,0,N,L,F,B,R,3
other,A,50,U,U,other,2,N,L,G,D,R,3
FL,A,42,E,U,M,1,N,L,E,D,R,1
other,A,11,U,U,M,0,N,L,D,C,S,1
CA,A,40,E,H,F,3,N,L,F,B,T,2
CA,A,12,E,H,F,2,Y,L,F,A,S,1
IL,A,35,E,H,F,3,N,L,E,C,T,1
IL,A,18,U,U,F,0,N,L,F,A,S,2
CA,A,3,E,H,M,3,N,L,F,A,U,1
other,A,43,E,U,M,3,N,L,F,D,R,2
FL,A,U,E,H,F,2,N,L,F,B,C,4
FL,A,12,U,H,M,3,N,L,G,B,S,1
TX,A,12,E,H,F,3,N,L,F,B,S,1
GA,A,12,E,H,F,2,N,L,F,A,S,1
FL,A,29,E,H,F,3,N,L,E,A,C,2
CA,A,4,E,U,F,1,N,L,E,A,U,2
NC,A,22,E,H,F,3,N,L,G,B,C,1
other,A,5,E,H,F,3,N,L,E,A,U,2
CA,A,3,U,H,M,2,Y,L,F,A,U,1
MO,A,15,E,H,M,2,N,L,G,A,S,1
WI,A,18,E,H,F,3,Y,L,E,A,S,2
MO,A,12,E,H,M,3,Y,L,E,A,S,1
TX,A,49,E,H,F,2,N,L,E,A,R,2
other,A,39,U,U,M,2,N,L,E,D,T,2
FL,A,34,E,H,F,3,N,L,F,B,T,1
other,A,46,U,U,M,0,N,L,F,D,R,2
CA,A,35,E,H,M,3,Y,L,F,B,T,1
MO,A,40,U,U,M,0,N,L,D,D,T,2
CA,A,14,E,H,M,3,N,L,F,A,S,1
other,A,37,E,H,F,3,Y,L,F,D,T,2
other,A,17,U,U,F,0,N,L,F,A,S,2
CA,A,35,E,H,M,2,Y,L,G,A,T,1
CA,A,13,E,H,M,3,N,L,E,A,S,1
other,A,38,U,U,M,3,N,L,F,C,T,2
CA,A,10,U,U,F,0,Y,L,F,A,U,4
FL,A,21,E,H,M,2,N,L,F,A,S,3
IL,A,41,E,H,F,2,N,L,E,D,T,3
other,A,21,E,H,F,2,N,L,F,A,S,3
FL,A,37,E,H,F,2,N,L,F,A,T,2
CA,A,24,U,U,F,0,N,L,G,B,C,1
TX,A,24,E,H,M,3,N,L,F,A,C,1
other,A,47,E,H,F,2,N,L,F,D,R,2
MI,A,36,E,H,M,2,N,L,F,C,T,2
other,A,36,E,H,M,3,N,L,D,B,T,2
IN,A,36,E,U,F,3,N,L,F,D,T,2
CA,A,27,I,U,M,0,N,L,E,C,C,2
other,A,10,U,U,F,0,N,L,G,A,U,4
GA,A,14,E,H,M,3,Y,L,F,A,S,1
other,A,15,E,U,M,2,N,L,F,A,S,1
GA,A,25,E,H,F,3,N,L,F,A,C,2
MI,A,39,E,H,M,3,N,L,F,D,T,2
CA,A,15,U,U,F,0,N,L,F,B,S,1
WI,A,49,E,U,M,3,N,L,E,D,R,2
other,A,49,E,H,F,2,N,L,F,D,R,2
MI,A,45,E,H,M,3,N,L,E,C,R,2
MI,A,39,E,H,M,2,N,L,F,D,T,2
GA,A,23,E,H,M,3,N,L,E,A,C,1
TX,A,3,E,U,M,1,Y,L,D,B,U,1
MO,A,43,E,H,M,3,N,L,F,B,R,2
IL,A,35,I,H,other,2,N,L,F,A,T,1
GA,A,27,U,H,F,1,N,L,F,A,C,2
NC,A,27,E,H,M,3,N,L,G,B,C,2
TX,A,18,E,H,F,3,Y,L,G,A,S,2
IL,A,49,E,U,F,2,N,L,G,C,R,2
CA,A,5,E,H,F,3,N,L,F,B,U,2
other,A,46,E,H,F,2,N,L,F,B,R,2
other,A,27,E,H,M,2,N,L,D,C,C,2
CA,A,24,E,H,F,3,N,L,F,A,C,1
MI,A,10,E,U,F,3,N,L,F,A,U,4
NC,A,40,E,H,F,3,N,L,F,D,T,2
CA,A,15,E,U,M,2,N,L,F,A,S,1
other,A,41,E,H,M,2,N,L,F,A,T,3
WI,A,10,E,H,F,2,N,L,E,B,U,4
GA,A,24,E,H,other,1,N,L,F,A,C,1
IL,A,20,E,H,M,2,Y,L,G,A,S,2
NC,A,17,E,H,F,3,N,L,G,B,S,2
IL,A,8,E,H,M,2,N,L,G,A,U,3
CA,A,35,E,H,F,2,N,L,F,C,T,1
other,A,30,E,H,M,3,Y,L,F,C,C,3
FL,B,25,U,U,F,0,N,L,F,B,C,2
TX,A,30,E,H,F,2,Y,L,F,A,C,3
other,A,4,E,H,F,3,N,L,E,B,U,2
other,A,28,E,H,F,3,N,L,F,C,C,2
NC,A,26,E,H,F,3,N,L,F,B,C,2
WI,A,27,E,H,F,3,N,L,F,B,C,2
MI,A,37,I,U,F,1,N,L,F,A,T,2
CA,A,2,E,U,F,1,Y,L,F,A,U,1
TX,A,24,E,H,M,3,N,L,F,C,C,1
IL,A,24,E,H,F,3,N,L,F,C,C,1
CA,A,1,U,U,F,0,N,L,E,A,U,1
other,A,30,U,H,F,3,N,L,F,C,C,3
WA,A,46,U,U,M,0,N,L,G,D,R,2
FL,A,37,E,H,M,2,N,L,F,B,T,2
FL,A,29,U,U,F,0,N,L,F,B,C,2
MO,A,3,U,U,F,0,N,L,G,B,U,1
NC,A,U,U,U,M,3,N,L,E,B,C,4
TX,A,14,E,H,F,3,N,L,G,A,S,1
WI,A,53,E,H,F,2,N,L,F,D,R,3
other,A,24,U,U,F,1,N,L,F,B,C,1
MI,A,16,E,H,M,3,Y,L,F,A,S,2
WA,A,11,E,U,M,3,N,L,F,A,S,1
TX,A,22,E,H,M,2,N,L,E,A,C,1
other,A,43,U,U,M,2,N,L,E,D,R,2
other,A,53,U,U,F,0,N,L,G,D,R,3
CA,A,37,U,U,F,0,N,L,E,A,T,2
other,A,12,E,H,M,2,N,L,F,B,S,1
TX,A,24,E,H,M,3,N,L,F,C,C,1
MI,A,40,E,U,F,2,N,L,F,B,T,2
MI,A,21,E,H,M,3,N,L,F,C,S,3
IL,A,12,E,H,M,3,N,L,G,A,S,1
other,A,53,U,U,F,0,N,L,D,D,R,3
CA,A,12,E,H,M,3,N,L,F,B,S,1
TX,A,41,E,U,F,2,N,L,E,C,T,3
NC,A,24,E,H,M,3,N,L,F,B,C,1
WI,A,18,E,H,F,1,N,L,F,B,S,2
NC,A,36,U,U,M,2,N,L,F,C,T,2
other,A,36,E,H,M,3,N,L,F,D,T,2
other,A,41,U,H,F,3,N,L,E,D,T,3
CA,A,10,E,H,F,1,N,L,E,B,U,4
other,A,42,I,U,M,0,N,L,F,D,R,1
FL,A,12,E,U,F,2,N,L,D,A,S,1
other,A,41,E,H,F,3,N,L,D,D,T,3
MI,A,17,U,H,M,2,N,L,G,A,S,2
other,A,42,E,H,F,2,N,L,F,C,R,1
other,A,36,E,U,F,1,N,L,E,B,T,2
IL,A,10,E,U,M,3,N,L,E,A,U,4
IL,A,28,I,H,M,3,N,L,G,A,C,2
WI,A,13,U,U,F,0,N,L,F,B,S,1
WA,A,44,E,H,F,2,N,L,E,A,R,2
CA,A,13,E,H,M,3,N,L,F,A,S,1
IL,A,16,E,H,M,2,N,L,G,A,S,2
other,A,44,E,U,F,3,N,L,G,C,R,2
other,A,36,E,H,M,3,Y,L,F,B,T,2
WI,A,11,U,U,M,0,N,L,G,B,S,1
other,A,30,U,U,M,0,N,L,F,C,C,3
NC,A,32,E,H,F,3,N,L,E,C,C,3
WI,A,49,E,U,M,3,N,L,F,D,R,2
FL,A,28,U,U,F,0,N,L,D,A,C,2
IL,A,12,U,U,F,0,N,L,F,A,S,1
MI,A,2,E,H,F,3,N,L,F,A,U,1
CA,A,24,E,H,M,2,N,L,G,B,C,1
MI,B,27,E,U,M,1,N,L,D,A,C,2
CA,A,33,E,H,M,3,N,L,E,A,C,3
FL,A,29,E,H,M,3,N,L,F,C,C,2
CA,A,13,E,H,M,3,Y,L,F,A,S,1
TX,A,34,U,H,M,3,N,L,F,A,T,1
other,A,43,U,H,M,3,N,L,F,B,R,2
IL,A,10,E,U,F,2,N,L,F,A,U,4
other,A,36,E,U,M,1,Y,L,F,B,T,2
other,A,24,E,H,F,2,N,L,F,C,C,1
CA,A,29,E,H,M,3,N,L,G,A,C,2
other,A,36,U,U,F,0,N,L,G,C,T,2
other,A,51,E,H,F,3,N,L,G,B,R,3
CA,A,35,U,U,F,3,N,L,E,A,T,1
other,A,28,I,U,F,0,N,L,F,D,C,2
TX,A,40,E,H,M,1,N,L,G,A,T,2
NC,A,49,U,U,F,0,N,L,G,C,R,2
FL,A,8,E,U,M,3,N,L,F,A,U,3
IL,A,3,E,U,F,2,N,L,F,A,U,1
other,A,45,U,U,other,3,N,L,F,D,R,2
other,A,31,I,U,M,0,N,L,G,D,C,3
other,A,26,E,U,F,3,N,L,D,C,C,2
IL,A,46,E,H,M,3,N,L,F,D,R,2
IN,A,27,E,H,M,3,Y,L,F,B,C,2
other,A,12,E,H,M,3,Y,L,D,B,S,1
MI,A,44,E,H,M,3,N,L,F,C,R,2
CA,A,30,U,H,F,2,N,L,E,A,C,3
other,A,35,I,U,F,0,N,L,E,B,T,1
CA,A,26,E,U,F,3,N,L,D,A,C,2
IN,A,27,U,U,F,0,N,L,F,C,C,2
WI,A,12,E,U,F,3,N,L,E,B,S,1
CA,A,18,E,H,M,2,N,L,G,A,S,2
other,A,35,E,H,M,2,N,L,E,B,T,1
CA,A,15,I,H,M,3,N,L,G,A,S,1
other,A,39,E,H,F,3,N,L,E,B,T,2
NC,A,50,E,U,F,1,N,L,F,D,R,3
other,A,45,E,H,F,2,N,L,F,B,R,2
other,A,50,E,H,F,2,N,L,D,D,R,3
FL,A,17,U,U,M,3,N,L,E,B,S,2
TX,A,U,E,H,F,3,N,L,G,B,C,4
other,A,7,U,U,F,2,Y,L,F,A,U,2
other,A,43,E,U,M,3,Y,L,E,D,R,2
other,A,36,E,H,F,2,Y,L,G,C,T,2
other,A,10,U,U,M,0,N,L,G,A,U,4
CA,A,3,E,H,F,3,N,L,G,A,U,1
MI,A,44,U,U,M,3,N,L,G,C,R,2
FL,A,10,U,U,F,0,N,L,F,A,U,4
other,A,27,E,H,F,3,N,L,D,B,C,2
MI,A,U,U,U,F,3,N,L,F,B,C,4
other,A,45,E,H,M,2,N,L,F,D,R,2
NC,A,31,U,U,M,0,N,L,G,B,C,3
other,A,30,U,U,F,3,N,L,F,B,C,3
CA,A,2,E,H,M,3,N,L,F,A,U,1
MI,A,44,E,H,M,2,N,L,E,C,R,2
other,A,51,E,U,M,3,N,L,F,D,R,3
other,A,16,U,U,F,0,N,L,F,B,S,2
FL,A,21,E,H,M,3,N,L,F,A,S,3
MO,A,13,E,H,M,3,N,L,F,A,S,1
other,A,44,U,U,M,2,N,L,F,B,R,2
FL,A,29,E,H,M,3,Y,L,D,C,C,2
MI,A,U,U,U,F,3,N,L,F,A,C,4
other,A,U,U,U,M,0,N,L,F,C,C,4
WA,A,35,E,H,M,3,N,L,F,A,T,1
other,A,30,E,H,F,3,N,L,F,B,C,3
other,A,45,U,U,M,1,N,L,F,D,R,2
other,A,17,E,U,F,3,N,L,F,B,S,2
CA,A,1,U,U,F,0,N,L,D,A,U,1
other,A,36,E,H,M,3,N,L,F,D,T,2
CA,A,5,U,U,F,0,N,L,D,A,U,2
other,A,36,U,U,F,0,N,L,F,B,T,2
IN,A,37,U,U,F,0,N,L,F,D,T,2
CA,A,34,U,H,F,3,N,L,E,A,T,1
TX,A,44,E,U,M,3,N,L,E,C,R,2
WI,A,35,E,H,M,3,N,L,F,B,T,1
CA,A,20,E,H,F,2,N,L,F,A,S,2
CA,A,33,E,H,M,3,N,L,G,A,C,3
CA,A,20,E,H,F,1,N,L,F,B,S,2
IL,A,31,U,U,F,0,N,L,E,B,C,3
MO,A,21,E,H,M,1,N,L,F,B,S,3
FL,A,46,E,H,F,2,N,L,F,D,R,2
CA,A,24,I,H,M,3,N,L,F,A,C,1
TX,A,53,E,H,F,3,Y,L,F,D,R,3
GA,A,8,E,H,M,3,Y,L,G,A,U,3
CA,A,2,E,U,M,2,N,L,F,A,U,1
CA,A,31,U,U,F,0,N,L,G,C,C,3
CA,A,13,E,H,F,2,N,L,E,A,S,1
MO,A,36,U,U,F,0,N,L,E,D,T,2
other,A,44,U,U,F,1,N,L,G,C,R,2
WA,A,12,E,U,F,3,N,L,G,C,S,1
other,A,36,I,U,M,0,N,L,F,D,T,2
MI,A,40,U,U,M,0,N,L,F,A,T,2
other,A,17,E,H,M,3,N,L,E,B,S,2
other,A,43,E,H,M,3,Y,L,G,D,R,2
other,A,35,U,U,F,2,N,L,F,C,T,1
WA,A,20,E,H,M,3,N,L,E,A,S,2
other,A,U,U,U,F,0,N,L,F,D,C,4
CA,A,8,E,H,M,2,Y,L,F,A,U,3
TX,A,21,E,H,M,3,N,L,F,B,S,3
GA,A,32,U,U,F,0,N,L,D,A,C,3
NC,A,17,E,H,M,3,N,L,F,B,S,2
GA,A,43,E,H,F,3,N,L,F,C,R,2
IN,A,39,E,H,F,2,Y,L,G,C,T,2
NC,A,30,U,U,F,0,N,L,F,B,C,3
CA,A,27,U,U,other,0,N,L,E,A,C,2
WA,A,28,E,H,M,3,N,L,F,C,C,2
MI,A,20,E,U,M,3,N,L,E,A,S,2
FL,A,12,E,H,M,3,N,L,G,A,S,1
CA,A,11,I,H,F,3,N,L,G,A,S,1
CA,A,11,U,U,M,1,N,L,G,A,S,1
other,A,24,E,H,M,2,Y,L,E,B,C,1
MO,A,43,E,U,M,2,N,L,F,D,R,2
other,A,49,I,U,M,0,N,L,D,C,R,2
IN,A,51,U,U,F,2,Y,L,E,C,R,3
TX,A,36,E,H,F,3,N,L,F,D,T,2
other,A,45,E,H,M,3,Y,L,F,D,R,2
IL,A,18,E,H,M,3,N,L,F,A,S,2
TX,A,18,E,H,F,3,N,L,E,B,S,2
CA,A,24,E,U,M,2,N,L,F,C,C,1
FL,A,20,I,U,M,0,N,L,G,A,S,2
FL,A,18,U,U,F,0,N,L,E,B,S,2
IL,A,16,U,U,F,3,N,L,G,A,S,2
GA,A,17,E,H,M,3,N,L,G,A,S,2
MI,A,36,E,U,F,3,N,L,F,A,T,2
MI,A,31,E,U,F,1,Y,L,G,C,C,3
CA,B,17,U,U,F,0,N,L,E,A,S,2
other,A,45,U,U,F,0,N,L,F,D,R,2
CA,A,20,E,H,M,2,N,L,E,A,S,2
other,A,51,E,H,F,2,N,L,D,C,R,3
IL,A,40,U,U,F,0,N,L,D,D,T,2
CA,A,46,U,U,F,0,N,L,E,C,R,2
WA,A,2,E,H,M,2,N,L,G,A,U,1
other,A,14,E,H,M,3,N,L,G,B,S,1
FL,A,15,U,U,F,0,N,L,F,A,S,1
IL,A,44,U,U,F,1,N,L,E,C,R,2
other,A,39,E,H,M,3,N,L,F,C,T,2
TX,A,32,E,H,F,3,N,L,F,B,C,3
other,A,35,I,H,F,3,N,L,F,D,T,1
IL,A,13,E,H,M,3,N,L,F,A,S,1
CA,A,7,U,H,M,2,N,L,F,B,U,2
NC,A,28,E,U,M,3,N,L,F,D,C,2
other,A,51,U,U,M,0,N,L,F,D,R,3
other,A,41,U,U,F,0,N,L,F,D,T,3
other,A,46,E,H,F,2,N,L,F,B,R,2
MO,A,20,U,H,M,3,Y,L,F,B,S,2
CA,A,11,U,U,F,0,N,L,E,A,S,1
IL,A,13,E,H,M,2,N,L,E,A,S,1
other,A,31,E,H,F,3,N,L,F,B,C,3
MO,A,27,E,H,M,3,N,L,D,A,C,2
other,A,U,E,H,M,3,N,L,G,D,C,4
other,A,36,U,U,F,1,N,L,E,D,T,2
other,A,40,E,H,F,3,N,L,F,B,T,2
other,A,27,U,U,M,0,N,L,F,B,C,2
WA,A,44,E,H,F,3,Y,L,G,C,R,2
TX,A,20,E,H,M,3,N,L,E,A,S,2
IL,A,2,E,H,M,3,N,L,F,A,U,1
CA,A,1,U,U,other,1,N,L,E,A,U,1
MO,A,5,E,H,F,3,N,L,F,A,U,2
FL,A,20,E,H,M,3,N,L,E,B,S,2
other,A,48,E,H,F,3,N,L,E,D,R,2
